City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
570,Ongole,IN,83.95,moderate rain,15.5,80.05,HOTEL NARAYANA PALACE
578,Corn Island,NI,81.37,clear sky,12.17,-83.04,Big Fish Guest House
579,Virginia Beach,US,90.0,broken clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
580,Kearney,US,89.6,clear sky,40.7,-99.08,Holiday Inn Kearney
581,Cockburn Town,TC,84.2,overcast clouds,21.46,-71.14,Osprey Beach Hotel
582,Cabano,PH,80.17,overcast clouds,10.59,122.7,Fatima Farm and Pearl Resort
584,Nouakchott,MR,84.2,overcast clouds,18.09,-15.98,Hôtel Iman
596,Saint-Georges,GD,86.0,few clouds,12.06,-61.75,Siesta Hotel
600,Awbari,LY,85.1,clear sky,26.59,12.78,فندق أوباري
605,Karachi,PK,86.0,broken clouds,24.91,67.08,Hillside Homes
609,The Valley,AI,87.8,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
622,Saint Anthony,US,90.0,scattered clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
625,Dhidhdhoo,MV,83.43,moderate rain,6.88,73.1,Dhidhoo beach
634,Timbiqui,CO,80.17,light rain,2.77,-77.67,hotel diana
636,Campina Verde,BR,83.46,clear sky,-19.54,-49.49,Hotel Lino
645,Hamilton,US,84.99,broken clouds,39.18,-84.53,Six Acres Bed & Breakfast
647,Altamira,BR,84.2,thunderstorm,-3.2,-52.21,Requinte Hotel
649,Minab,IR,89.6,clear sky,27.15,57.08,فروشگاه موبایل ترکمانی
651,Lindsay,US,87.01,haze,36.2,-119.09,Lindsay Inn
656,Calabozo,VE,84.11,broken clouds,8.92,-67.43,Hotel Giardini
659,Umm Lajj,SA,84.02,clear sky,25.02,37.27,Moon light Furnished Units
668,Korla,CN,86.0,clear sky,41.76,86.15,Gulisitan Hotel
670,Rawah,IQ,85.78,clear sky,34.48,41.91,المملكة الراوية الهاشمية
677,Santo Tomas,PH,84.2,overcast clouds,14.11,121.14,Microtel by Wyndham Batangas
679,Morant Bay,JM,90.0,broken clouds,17.88,-76.41,Whispering Bamboo Cove Resort
686,Porbandar,IN,81.75,moderate rain,21.64,69.61,Lords Inn Porbandar
689,Salina Cruz,MX,86.34,light rain,16.17,-95.2,Amerik HOTEL
691,Olinda,BR,80.6,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
692,Sabang,ID,83.86,broken clouds,5.89,95.32,Hotel Citra
697,Serang,ID,80.01,haze,-6.11,106.15,Horison Ultima Ratu
